user_id,cant_minutos_llamada,cant_mensajes,cant_llamadas,first_name,last_name,age,city,reg_date,plan,churn_date,grupo_uso,grupo_edad
12666,11.5,13,3,Mateo,Garcia,20.0,Cali,2024-01-01 00:00:00.000000000,Premium,,Alto uso,Joven
12667,33.269999999999996,3,7,Carlos,Gomez,72.0,Cali,2024-01-01 06:34:17.914478624,Premium,,Medio uso,Adulto Mayor
12668,87.55999999999999,5,7,Ana,Torres,21.0,CDMX,2024-01-01 13:08:35.828957240,Basico,,Medio uso,Joven
12669,27.62,4,5,Sofia,Garcia,58.0,CDMX,2024-01-01 19:42:53.743435864,Basico,,Medio uso,Adulto
12670,31.900000000000002,9,4,Ana,Garcia,54.0,MTY,2024-01-02 02:17:11.657914480,Premium,,Medio uso,Adulto
12671,7.73,7,3,Carlos,Garcia,68.0,MTY,2024-01-02 08:51:29.572393104,Basico,,Medio uso,Adulto Mayor
12672,17.64,6,5,Sofia,Gomez,32.0,Medellín,2024-01-02 15:25:47.486871720,Basico,,Medio uso,Adulto
12673,1.75,4,3,Mateo,Ramirez,25.0,Medellín,2024-01-02 22:00:05.401350344,Premium,,Bajo uso,Joven
12674,2.61,5,3,Carlos,Gomez,55.0,Bogotá,2024-01-03 04:34:23.315828960,Premium,"1,72022E+18",Medio uso,Adulto
12675,31.57,3,4,Mateo,Ramirez,67.0,GDL,2024-01-03 11:08:41.230307584,Basico,,Bajo uso,Adulto Mayor
12676,24.98,15,3,Luis,Garcia,36.0,MTY,2024-01-03 17:42:59.144786200,Basico,,Alto uso,Adulto
12677,73.0,9,6,Mariana,Garcia,73.0,Bogotá,2024-01-04 00:17:17.059264816,Premium,,Medio uso,Adulto Mayor
12678,18.490000000000002,8,6,Carlos,Torres,64.0,Bogotá,2024-01-04 06:51:34.973743440,Premium,,Medio uso,Adulto Mayor
12679,51.11000000000001,8,8,Luis,Ramirez,43.0,CDMX,2024-01-04 13:25:52.888222056,Premium,"1,73232E+18",Medio uso,Adulto
12680,11.870000000000001,9,4,Carlos,Garcia,56.0,Medellín,2024-01-04 20:00:10.802700680,Premium,,Medio uso,Adulto
12681,25.290000000000003,4,7,Carlos,Lopez,27.0,CDMX,2024-01-05 02:34:28.717179296,Basico,,Medio uso,Joven
12682,5.47,3,1,Luis,Torres,55.0,MTY,2024-01-05 09:08:46.631657920,Basico,,Bajo uso,Adulto
12683,51.86,4,7,Sofia,Gomez,31.0,Medellín,2024-01-05 15:43:04.546136536,Basico,,Medio uso,Adulto
12684,6.6899999999999995,6,2,Ana,Torres,66.0,CDMX,2024-01-05 22:17:22.460615160,Basico,,Medio uso,Adulto Mayor
12685,5.27,6,3,Mateo,Lopez,58.0,Bogotá,2024-01-06 04:51:40.375093776,Basico,,Medio uso,Adulto
12686,33.05,9,6,Carlos,Ramirez,36.0,MTY,2024-01-06 11:25:58.289572400,Basico,,Medio uso,Adulto
12687,11.68,3,1,Mateo,Gomez,47.0,CDMX,2024-01-06 18:00:16.204051016,Premium,,Bajo uso,Adulto
12688,11.859999999999998,3,3,Mariana,Gomez,22.0,GDL,2024-01-07 00:34:34.118529632,Premium,,Bajo uso,Joven
12689,19.549999999999997,4,4,Luis,Ramirez,72.0,,2024-01-07 07:08:52.033008256,Basico,,Bajo uso,Adulto Mayor
12690,21.64,7,2,Mateo,Torres,48.0,Bogotá,2024-01-07 13:43:09.947486872,Basico,,Medio uso,Adulto
12691,6.26,3,1,Luis,Garcia,24.0,,2024-01-07 20:17:27.861965496,Basico,,Bajo uso,Joven
12692,24.919999999999998,6,6,Mateo,Torres,36.0,Bogotá,2024-01-08 02:51:45.776444112,Basico,,Medio uso,Adulto
12693,7.76,7,3,Ana,Lopez,48.0,Bogotá,2024-01-08 09:26:03.690922736,Premium,,Medio uso,Adulto
12694,23.04,4,8,Ana,Garcia,69.0,MTY,2024-01-08 16:00:21.605401352,Basico,,Medio uso,Adulto Mayor
12695,16.98,7,6,Ana,Torres,75.0,MTY,2024-01-08 22:34:39.519879976,Basico,,Medio uso,Adulto Mayor
12696,36.29,6,8,Ana,Ramirez,56.0,GDL,2024-01-09 05:08:57.434358592,Basico,,Medio uso,Adulto
12697,48.339999999999996,3,6,Ana,Lopez,41.0,MTY,2024-01-09 11:43:15.348837216,Premium,,Medio uso,Adulto
